Designator,Mid X,Mid Y,Rotation,Layer
C1,92.71,-105.41,180.0,top
C2,99.06,-105.41,180.0,top
C3,83.439,-105.43,0.0,top
D1,92.805,-120.396,180.0,top
J1,100.33,-100.33,270.0,top
P1,76.835,-113.03,270.0,top
U1,92.71,-113.03,0.0,top
